PLAYER_ID,PLAYER_NAME,TEAM_ID,GP,MIN,PTS,AST,REB,STL,BLK,TOV
1631222,Jake LaRavia,1610612763,3,65.1,37,5,12,2,4,3
1627751,Jakob Poeltl,1610612761,2,37.38333333333333,12,4,14,2,2,4
1628973,Jalen Brunson,1610612752,3,44.61666666666667,31,10,8,1,0,5
1630622,Jalen Crutcher,1610612740,2,14.566666666666666,8,4,1,0,0,1
1631105,Jalen Duren,1610612765,3,51.88333333333333,23,3,11,2,2,4
1630224,Jalen Green,1610612745,3,77.1,43,5,9,3,0,6
1641720,Jalen Hood-Schifino,1610612747,4,74.95,11,16,14,2,2,7
1630552,Jalen Johnson,1610612737,5,96.53333333333333,46,17,20,6,2,5
1629667,Jalen McDaniels,1610612761,4,74.75,32,5,17,1,3,1
1629618,Jalen Pickett,1610612743,5,77.63333333333334,20,9,6,0,1,3
1641771,Jalen Slawson,1610612758,4,23.971666666666668,4,3,6,2,1,2
1630188,Jalen Smith,1610612754,4,71.88333333333334,31,0,25,0,6,6
1630591,Jalen Suggs,1610612753,3,55.65,23,4,10,5,2,4
1631114,Jalen Williams,1610612760,4,91.15,67,12,11,7,1,7
1630592,Jalen Wilson,1610612751,4,38.56666666666667,12,2,2,0,0,1
1631288,Jamal Cain,1610612748,4,85.73333333333333,45,3,33,2,0,3
1627750,Jamal Murray,1610612743,4,86.18333333333334,47,22,8,6,1,4
1630164,James Wiseman,1610612765,4,60.096666666666664,30,3,21,2,3,7
1630691,Jamorko Pickett,1610612743,2,8.116666666666667,3,1,1,1,0,2
1641716,Jarace Walker,1610612754,4,77.29833333333333,35,8,20,3,3,6
1630215,Jared Butler,1610612764,4,35.15,15,10,11,3,0,3
1631197,Jared Rhoden,1610612765,3,42.983333333333334,15,4,9,2,0,1
1628991,Jaren Jackson Jr.,1610612763,4,93.83333333333333,56,8,20,4,10,8
1629020,Jarred Vanderbilt,1610612747,1,13.533333333333333,6,0,5,1,0,2
1641881,Javan Johnson,1610612744,1,9.316666666666666,5,1,1,0,0,0
1631241,Javon Freeman-Liberty,1610612761,4,39.916666666666664,27,5,12,2,1,3
1630606,Javonte Smart,1610612755,4,33.083333333333336,18,6,3,3,0,3
1629637,Jaxson Hayes,1610612747,6,97.56666666666666,33,10,22,4,5,7
1630643,Jay Huff,1610612743,1,17.166666666666668,5,1,6,0,2,2
1627759,Jaylen Brown,1610612738,3,78.55,56,8,10,2,1,9
1641798,Jaylen Martin,1610612751,1,2.95,0,0,0,0,0,0
1629669,Jaylen Nowell,1610612765,2,12.85,5,1,1,0,0,0
1631119,Jaylin Williams,1610612760,2,39.666666666666664,23,5,16,0,1,1
1628369,Jayson Tatum,1610612738,3,79.71666666666667,52,16,24,7,1,5
1641789,Jazian Gortman,1610612749,1,4.933333333333334,0,1,0,0,0,2
1630288,Jeff Dowtin Jr.,1610612755,1,8.45,8,1,2,1,0,1
201145,Jeff Green,1610612745,3,42.81666666666667,12,6,8,0,1,2
203924,Jerami Grant,1610612757,3,66.0,37,2,5,1,1,4
1630526,Jeremiah Robinson-Earl,1610612740,3,42.89333333333333,10,7,11,0,0,1
203087,Jeremy Lamb,1610612758,1,6.95,6,1,0,0,0,0
1631110,Jeremy Sochan,1610612759,4,97.85,36,13,25,7,0,5
1630579,Jericho Sims,1610612752,4,78.74,4,6,19,1,4,2
1631257,Jermaine Samuels Jr.,1610612745,4,46.266666666666666,16,6,10,3,0,2
1629010,Jerome Robinson,1610612744,2,29.613333333333333,10,4,5,0,0,2
1641724,Jett Howard,1610612753,4,69.48333333333333,37,3,6,1,1,3
1628975,Jevon Carter,1610612741,5,95.06666666666666,32,11,6,4,1,3
1629111,Jock Landale,1610612745,3,49.675,22,3,9,3,1,4
203925,Joe Harris,1610612765,3,42.905,20,3,3,2,1,1
204060,Joe Ingles,1610612753,2,30.35,8,2,3,0,2,1
1630580,Joe Wieskamp,1610612742,3,11.533333333333333,3,0,0,1,0,0
203954,Joel Embiid,1610612755,1,33.166666666666664,21,1,5,1,2,3
1628381,John Collins,1610612762,4,78.35,32,2,15,0,1,7
1629723,John Konchar,1610612763,1,18.233333333333334,5,1,2,1,0,0
1631098,Johnny Davis,1610612764,2,47.38333333333333,22,5,11,1,3,1
1630548,Johnny Juzang,1610612762,1,14.716666666666667,7,4,3,2,1,1
202685,Jonas Valančiūnas,1610612740,4,85.36666666666666,24,5,26,3,3,7
1628371,Jonathan Isaac,1610612753,3,27.483333333333334,11,0,4,2,6,1
1630228,Jonathan Kuminga,1610612744,5,135.27833333333334,109,15,29,4,2,20
1629007,Jontay Porter,1610612761,1,9.0,2,0,2,0,2,0
203903,Jordan Clarkson,1610612762,4,76.33333333333333,39,12,11,3,1,11
1630259,Jordan Ford,1610612758,3,20.066666666666666,14,2,4,0,0,0
1630692,Jordan Goodwin,1610612763,3,48.8,20,6,14,8,2,4
1641722,Jordan Hawkins,1610612740,4,84.5,42,5,8,1,1,6
1629162,Jordan McLaughlin,1610612750,4,45.93333333333333,24,12,5,3,0,4
1641757,Jordan Miller,1610612746,4,32.5,8,4,4,2,1,2
1629670,Jordan Nwora,1610612761,4,42.36666666666667,17,3,5,1,1,2
1629673,Jordan Poole,1610612764,4,89.0,77,11,12,4,0,9
1641948,Jordan Walker,1610612742,3,24.283333333333335,17,5,1,1,0,3
1641775,Jordan Walsh,1610612738,3,40.45,7,1,10,3,0,2
1630528,Josh Christopher,1610612762,1,8.216666666666667,4,0,0,1,1,1
1630581,Josh Giddey,1610612760,4,89.06833333333333,48,21,22,2,0,11
1630182,Josh Green,1610612742,4,82.5,43,6,12,3,1,7
1628404,Josh Hart,1610612752,2,26.133333333333333,11,4,6,1,0,5
1631169,Josh Minott,1610612750,5,80.8,38,14,15,1,4,5
1629006,Josh Okogie,1610612756,4,80.16,35,9,18,5,2,3
1626196,Josh Richardson,1610612748,2,28.066666666666666,7,3,4,2,0,2
201950,Jrue Holiday,1610612738,4,90.95,38,14,19,7,0,6
1631262,Jules Bernard,1610612764,2,12.483333333333333,6,0,4,1,0,2
1630577,Julian Champagnie,1610612759,5,89.01666666666667,26,6,21,1,3,2
1641763,Julian Phillips,1610612741,5,59.95,21,1,9,1,4,1
