GROUP_ID,GROUP_NAME,TEAM_ID,OFF_RATING,DEF_RATING,NET_RATING
-202083-1628981-1629027-1629726-1630180-,W. Matthews - B. Fernando - T. Young - G. Mathews - S. Bey,1610612737,111.8,131.3,-19.5
-203992-1628981-1629631-1630180-1630235-,B. Bogdanovic - B. Fernando - D. Hunter - S. Bey - T. Forrest,1610612737,85.7,131.3,-45.5
-202083-1627749-1628981-1629631-1629726-,W. Matthews - D. Murray - B. Fernando - D. Hunter - G. Mathews,1610612737,56.3,93.3,-37.1
-203991-203992-1627749-1629631-1631100-,C. Capela - B. Bogdanovic - D. Murray - D. Hunter - A. Griffin,1610612737,146.7,120.0,26.7
-203991-1627749-1629726-1630180-1630552-,C. Capela - D. Murray - G. Mathews - S. Bey - J. Johnson,1610612737,120.0,94.1,25.9
-203992-1627749-1630168-1630180-1631100-,B. Bogdanovic - D. Murray - O. Okongwu - S. Bey - A. Griffin,1610612737,143.8,141.2,2.6
-1628981-1629027-1629685-1629726-1631243-,B. Fernando - T. Young - D. Windler - G. Mathews - M. Gueye,1610612737,128.6,120.0,8.6
-202083-203992-1628981-1629726-1630235-,W. Matthews - B. Bogdanovic - B. Fernando - G. Mathews - T. Forrest,1610612737,166.7,123.1,43.6
-1628981-1629726-1630249-1631243-1641723-,B. Fernando - G. Mathews - V. Krejci - M. Gueye - K. Bufkin,1610612737,58.8,122.2,-63.4
-201988-203991-203992-1627749-1630168-,P. Mills - C. Capela - B. Bogdanovic - D. Murray - O. Okongwu,1610612737,121.4,81.3,40.2
-203992-1628981-1629631-1629726-1630235-,B. Bogdanovic - B. Fernando - D. Hunter - G. Mathews - T. Forrest,1610612737,107.7,46.2,61.5
-201988-203991-1627749-1629726-1630180-,P. Mills - C. Capela - D. Murray - G. Mathews - S. Bey,1610612737,92.9,120.0,-27.1
-203992-1630168-1630180-1630235-1630552-,B. Bogdanovic - O. Okongwu - S. Bey - T. Forrest - J. Johnson,1610612737,100.0,130.8,-30.8
-203992-1627749-1628981-1629631-1630552-,B. Bogdanovic - D. Murray - B. Fernando - D. Hunter - J. Johnson,1610612737,121.4,56.3,65.2
-203992-1627749-1628981-1629726-1630249-,B. Bogdanovic - D. Murray - B. Fernando - G. Mathews - V. Krejci,1610612737,115.4,115.4,0.0
-202083-203992-1628981-1629027-1630552-,W. Matthews - B. Bogdanovic - B. Fernando - T. Young - J. Johnson,1610612737,126.7,126.7,0.0
-203992-1627749-1629027-1629631-1631243-,B. Bogdanovic - D. Murray - T. Young - D. Hunter - M. Gueye,1610612737,117.6,162.5,-44.9
-1628981-1629685-1630235-1630249-1641723-,B. Fernando - D. Windler - T. Forrest - V. Krejci - K. Bufkin,1610612737,84.6,128.6,-44.0
-203992-1629027-1629726-1630168-1641723-,B. Bogdanovic - T. Young - G. Mathews - O. Okongwu - K. Bufkin,1610612737,80.0,60.0,20.0
-1627749-1628981-1629726-1630249-1631100-,D. Murray - B. Fernando - G. Mathews - V. Krejci - A. Griffin,1610612737,146.2,153.8,-7.7
-203991-1627749-1629726-1630168-1630180-,C. Capela - D. Murray - G. Mathews - O. Okongwu - S. Bey,1610612737,100.0,108.3,-8.3
-201988-203992-1628981-1629027-1630552-,P. Mills - B. Bogdanovic - B. Fernando - T. Young - J. Johnson,1610612737,100.0,100.0,0.0
-203992-1627749-1630168-1630552-1631100-,B. Bogdanovic - D. Murray - O. Okongwu - J. Johnson - A. Griffin,1610612737,100.0,100.0,0.0
-1630235-1630249-1631100-1631243-1641723-,T. Forrest - V. Krejci - A. Griffin - M. Gueye - K. Bufkin,1610612737,58.3,100.0,-41.7
-1628981-1629631-1629726-1630235-1630552-,B. Fernando - D. Hunter - G. Mathews - T. Forrest - J. Johnson,1610612737,100.0,100.0,0.0
-203991-203992-1627749-1629631-1630168-,C. Capela - B. Bogdanovic - D. Murray - D. Hunter - O. Okongwu,1610612737,135.7,138.5,-2.7
-201988-1629027-1629726-1630168-1630552-,P. Mills - T. Young - G. Mathews - O. Okongwu - J. Johnson,1610612737,54.5,183.3,-128.8
