game_id,period,start_event,end_event,start_time,end_time,home_lineup,away_lineup,home_3pt_made,home_points,home_assists,home_def_rebounds,home_fouls,home_2pt_made,home_turnovers,home_ft_made,home_off_rebounds,away_def_rebounds,away_2pt_made,away_points,away_assists,away_3pt_made,away_steals,away_fouls,away_blocks,away_off_rebounds,duration,home_steals,away_turnovers,home_blocks,away_ft_made
0022301175,1,53,54,6:44,6:44,"('Donte DiVincenzo', 'Jalen Brunson', 'Jericho Sims', 'Josh Hart', 'OG Anunoby')","('Cam Thomas', 'Jalen Wilson', 'Mikal Bridges', 'Nic Claxton', 'Trendon Watford')",,,,,,,,,,,,,,,,,,,0,,,,
0022301175,1,54,72,6:44,5:16,"('Donte DiVincenzo', 'Jalen Brunson', 'Jericho Sims', 'Josh Hart', 'OG Anunoby')","('Jalen Wilson', 'Lonnie Walker IV', 'Mikal Bridges', 'Nic Claxton', 'Trendon Watford')",,,,2.0,1.0,,,,1.0,1.0,,,,,,,,,88,,,,
0022301175,1,72,88,5:16,3:21,"('Donte DiVincenzo', 'Jalen Brunson', 'Josh Hart', 'Mitchell Robinson', 'OG Anunoby')","('Jalen Wilson', 'Lonnie Walker IV', 'Mikal Bridges', 'Nic Claxton', 'Trendon Watford')",,,,,,,,,,2.0,2.0,8.0,1.0,1.0,,,,,115,,,,1.0
0022301175,1,88,89,3:21,3:21,"('Bojan Bogdanović', 'Donte DiVincenzo', 'Jalen Brunson', 'Josh Hart', 'Mitchell Robinson')","('Jalen Wilson', 'Lonnie Walker IV', 'Mikal Bridges', 'Nic Claxton', 'Trendon Watford')",,,,,,,,,,,,,,,,,,,0,,,,
0022301175,1,89,90,3:21,3:21,"('Bojan Bogdanović', 'Donte DiVincenzo', 'Jalen Brunson', 'Josh Hart', 'Mitchell Robinson')","('Cam Thomas', 'Jalen Wilson', 'Lonnie Walker IV', 'Nic Claxton', 'Trendon Watford')",,,,,,,,,,,,,,,,,,,0,,,,
0022301175,1,90,107,3:21,2:22,"('Bojan Bogdanović', 'Donte DiVincenzo', 'Jalen Brunson', 'Josh Hart', 'Mitchell Robinson')","('Cam Thomas', 'Jalen Wilson', 'Lonnie Walker IV', 'Noah Clowney', 'Trendon Watford')",,,,1.0,,,,,,2.0,1.0,2.0,1.0,,,1.0,,,59,,,,
0022301175,1,107,116,2:22,1:20,"('Bojan Bogdanović', 'Donte DiVincenzo', 'Jalen Brunson', 'Josh Hart', 'Mitchell Robinson')","('Cam Thomas', 'Jacob Gilyard', 'Jalen Wilson', 'Lonnie Walker IV', 'Noah Clowney')",,4.0,2.0,,1.0,2.0,,,,,,3.0,,1.0,,,,,62,,,,
0022301175,1,116,127,1:20,0:13,"('Alec Burks', 'Bojan Bogdanović', 'Donte DiVincenzo', 'Josh Hart', 'Mitchell Robinson')","('Cam Thomas', 'Jacob Gilyard', 'Jalen Wilson', 'Lonnie Walker IV', 'Noah Clowney')",1.0,4.0,1.0,,,,,1.0,,,2.0,4.0,,,,2.0,,,67,,,,
0022301175,1,127,156,0:13,10:08,"('Alec Burks', 'Bojan Bogdanović', 'Donte DiVincenzo', 'Josh Hart', 'Mitchell Robinson')","('Cam Thomas', 'Jalen Wilson', 'Lonnie Walker IV', 'Mikal Bridges', 'Noah Clowney')",,7.0,2.0,,,3.0,,1.0,1.0,,1.0,8.0,1.0,2.0,,1.0,,,125,1.0,1.0,,
0022301175,2,156,182,10:08,7:48,"('Alec Burks', 'Bojan Bogdanović', 'Donte DiVincenzo', 'Josh Hart', 'Mitchell Robinson')","('Jalen Wilson', 'Lonnie Walker IV', 'Mikal Bridges', 'Noah Clowney')",1.0,7.0,,3.0,,1.0,1.0,2.0,1.0,1.0,,6.0,2.0,2.0,1.0,1.0,,1.0,140,,,,
0022301175,2,182,183,7:48,7:48,"('Alec Burks', 'Bojan Bogdanović', 'Josh Hart', 'Mitchell Robinson', 'OG Anunoby')","('Jalen Wilson', 'Lonnie Walker IV', 'Mikal Bridges', 'Noah Clowney')",,,,,,,,,,,,,,,,,,,0,,,,
0022301175,2,183,184,7:48,7:48,"('Alec Burks', 'Bojan Bogdanović', 'Jericho Sims', 'Josh Hart', 'OG Anunoby')","('Jalen Wilson', 'Lonnie Walker IV', 'Mikal Bridges', 'Noah Clowney')",,,,,,,,,,,,,,,,,,,0,,,,
0022301175,2,184,185,7:48,7:48,"('Alec Burks', 'Bojan Bogdanović', 'Jericho Sims', 'Josh Hart', 'OG Anunoby')","('Jalen Wilson', 'Lonnie Walker IV', 'Mikal Bridges', 'Nic Claxton')",,,,,,,,,,,,,,,,,,,0,,,,
0022301175,2,185,203,7:48,6:35,"('Alec Burks', 'Bojan Bogdanović', 'Jericho Sims', 'Josh Hart', 'OG Anunoby')","('Jalen Wilson', 'Lonnie Walker IV', 'Mikal Bridges', 'Nic Claxton', 'Trendon Watford')",1.0,4.0,1.0,,,,,1.0,,1.0,1.0,5.0,2.0,1.0,,,1.0,,73,1.0,1.0,,
0022301175,2,203,227,6:35,4:26,"('Bojan Bogdanović', 'Jalen Brunson', 'Jericho Sims', 'Josh Hart', 'OG Anunoby')","('Jalen Wilson', 'Lonnie Walker IV', 'Mikal Bridges', 'Nic Claxton', 'Trendon Watford')",1.0,3.0,1.0,2.0,,,,,,2.0,,,,,,1.0,1.0,,129,,,,
0022301175,2,227,233,4:26,4:23,"('Bojan Bogdanović', 'Jalen Brunson', 'Jericho Sims', 'Josh Hart', 'OG Anunoby')","('Cam Thomas', 'Jalen Wilson', 'Mikal Bridges', 'Nic Claxton', 'Trendon Watford')",,,,,1.0,,,,,,,1.0,,,,,,,3,,,,1.0
0022301175,2,233,241,4:23,3:31,"('Bojan Bogdanović', 'Jalen Brunson', 'Jericho Sims', 'Josh Hart', 'OG Anunoby')","('Cam Thomas', 'Mikal Bridges', 'Nic Claxton', 'Noah Clowney', 'Trendon Watford')",,4.0,,,,2.0,,,,,2.0,5.0,,,,,,,52,,,,1.0
0022301175,2,241,246,3:31,3:18,"('Donte DiVincenzo', 'Jalen Brunson', 'Jericho Sims', 'Josh Hart', 'OG Anunoby')","('Cam Thomas', 'Mikal Bridges', 'Nic Claxton', 'Noah Clowney', 'Trendon Watford')",,1.0,,,,,,1.0,,,,,,,,1.0,,,13,,,,
0022301175,2,246,354,3:18,6:11,"('Donte DiVincenzo', 'Jalen Brunson', 'Jericho Sims', 'Josh Hart', 'OG Anunoby')","('Cam Thomas', 'Lonnie Walker IV', 'Nic Claxton', 'Noah Clowney', 'Trendon Watford')",7.0,35.0,8.0,5.0,5.0,5.0,1.0,4.0,,5.0,5.0,16.0,3.0,1.0,1.0,1.0,1.0,4.0,547,4.0,5.0,1.0,3.0
0022301175,3,354,377,6:11,3:34,"('Donte DiVincenzo', 'Jalen Brunson', 'Jericho Sims', 'Josh Hart', 'OG Anunoby')","('Cam Thomas', 'Jalen Wilson', 'Lonnie Walker IV', 'Nic Claxton', 'Trendon Watford')",2.0,6.0,1.0,1.0,,,,,,2.0,2.0,5.0,2.0,,,,,,157,,,,1.0
0022301175,3,377,390,3:34,2:13,"('Donte DiVincenzo', 'Jalen Brunson', 'Josh Hart', 'Mitchell Robinson', 'OG Anunoby')","('Cam Thomas', 'Jalen Wilson', 'Lonnie Walker IV', 'Nic Claxton', 'Trendon Watford')",,2.0,,,,1.0,,,,,1.0,2.0,,,,,,2.0,81,,1.0,,
0022301175,3,390,391,2:13,2:13,"('Bojan Bogdanović', 'Donte DiVincenzo', 'Jalen Brunson', 'Josh Hart', 'Mitchell Robinson')","('Cam Thomas', 'Jalen Wilson', 'Lonnie Walker IV', 'Nic Claxton', 'Trendon Watford')",,,,,,,,,,,,,,,,,,,0,,,,
0022301175,3,391,392,2:13,2:13,"('Bojan Bogdanović', 'Donte DiVincenzo', 'Jalen Brunson', 'Josh Hart', 'Mitchell Robinson')","('Jalen Wilson', 'Lonnie Walker IV', 'Nic Claxton', 'Noah Clowney', 'Trendon Watford')",,,,,,,,,,,,,,,,,,,0,,,,
0022301175,3,392,446,2:13,9:32,"('Bojan Bogdanović', 'Donte DiVincenzo', 'Jalen Brunson', 'Josh Hart', 'Mitchell Robinson')","('Jacob Gilyard', 'Jalen Wilson', 'Lonnie Walker IV', 'Noah Clowney', 'Trendon Watford')",,7.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,7.0,2.0,1.0,1.0,1.0,1.0,4.0,281,1.0,2.0,,
0022301175,4,446,462,9:32,8:38,"('Bojan Bogdanović', 'Donte DiVincenzo', 'Jalen Brunson', 'Josh Hart', 'Mitchell Robinson')","('Jacob Gilyard', 'Jalen Wilson', 'Lonnie Walker IV', 'Nic Claxton', 'Trendon Watford')",,5.0,1.0,1.0,,2.0,,1.0,1.0,,,,,,,,,,54,1.0,1.0,1.0,
