game_id,player,period,start_event,end_event,start_time,end_time,home_lineup,away_lineup,def_rebounds,assists,3pt_made,points,2pt_made,fouls,off_rebounds,ft_made,turnovers,steals
,Trae Young,1,128,143,2:30,1:33,"('Aaron Nesmith', 'Ben Sheppard', 'Jalen Smith', 'Obi Toppin', 'T.J. McConnell')","('AJ Griffin', 'Garrison Mathews', 'Mouhamed Gueye', 'Trae Young', 'Vit Krejci')",,,,2.0,1.0,1.0,,,,
,Obi Toppin,1,128,143,2:30,1:33,"('Aaron Nesmith', 'Ben Sheppard', 'Jalen Smith', 'Obi Toppin', 'T.J. McConnell')","('AJ Griffin', 'Garrison Mathews', 'Mouhamed Gueye', 'Trae Young', 'Vit Krejci')",,,,2.0,,,,2.0,,
,Ben Sheppard,1,128,143,2:30,1:33,"('Aaron Nesmith', 'Ben Sheppard', 'Jalen Smith', 'Obi Toppin', 'T.J. McConnell')","('AJ Griffin', 'Garrison Mathews', 'Mouhamed Gueye', 'Trae Young', 'Vit Krejci')",1.0,,,,,,,,,
,Jalen Smith,1,128,143,2:30,1:33,"('Aaron Nesmith', 'Ben Sheppard', 'Jalen Smith', 'Obi Toppin', 'T.J. McConnell')","('AJ Griffin', 'Garrison Mathews', 'Mouhamed Gueye', 'Trae Young', 'Vit Krejci')",,,,,,,,,1.0,
,Aaron Nesmith,1,128,143,2:30,1:33,"('Aaron Nesmith', 'Ben Sheppard', 'Jalen Smith', 'Obi Toppin', 'T.J. McConnell')","('AJ Griffin', 'Garrison Mathews', 'Mouhamed Gueye', 'Trae Young', 'Vit Krejci')",,,,,,1.0,,,,
,Mouhamed Gueye,1,128,143,2:30,1:33,"('Aaron Nesmith', 'Ben Sheppard', 'Jalen Smith', 'Obi Toppin', 'T.J. McConnell')","('AJ Griffin', 'Garrison Mathews', 'Mouhamed Gueye', 'Trae Young', 'Vit Krejci')",,,,1.0,,,,1.0,,
,Mouhamed Gueye,1,145,146,1:33,1:25,"('Aaron Nesmith', 'Ben Sheppard', 'Jalen Smith', 'Obi Toppin', 'T.J. McConnell')","('AJ Griffin', 'Garrison Mathews', 'Mouhamed Gueye', 'Trae Young', 'Vit Krejci')",,,,1.0,,,,1.0,,
,T.J. McConnell,1,146,172,1:25,11:47,"('Ben Sheppard', 'Doug McDermott', 'Jalen Smith', 'Obi Toppin', 'T.J. McConnell')","('AJ Griffin', 'Garrison Mathews', 'Mouhamed Gueye', 'Trae Young', 'Vit Krejci')",,1.0,1.0,3.0,,,,,,
,Garrison Mathews,1,146,172,1:25,11:47,"('Ben Sheppard', 'Doug McDermott', 'Jalen Smith', 'Obi Toppin', 'T.J. McConnell')","('AJ Griffin', 'Garrison Mathews', 'Mouhamed Gueye', 'Trae Young', 'Vit Krejci')",,,1.0,3.0,,,,,,
,Trae Young,1,146,172,1:25,11:47,"('Ben Sheppard', 'Doug McDermott', 'Jalen Smith', 'Obi Toppin', 'T.J. McConnell')","('AJ Griffin', 'Garrison Mathews', 'Mouhamed Gueye', 'Trae Young', 'Vit Krejci')",,1.0,1.0,3.0,,,,,,
,Jalen Smith,1,146,172,1:25,11:47,"('Ben Sheppard', 'Doug McDermott', 'Jalen Smith', 'Obi Toppin', 'T.J. McConnell')","('AJ Griffin', 'Garrison Mathews', 'Mouhamed Gueye', 'Trae Young', 'Vit Krejci')",1.0,1.0,,2.0,1.0,,2.0,,,
,Doug McDermott,1,146,172,1:25,11:47,"('Ben Sheppard', 'Doug McDermott', 'Jalen Smith', 'Obi Toppin', 'T.J. McConnell')","('AJ Griffin', 'Garrison Mathews', 'Mouhamed Gueye', 'Trae Young', 'Vit Krejci')",,,,2.0,1.0,,,,,
,Ben Sheppard,1,146,172,1:25,11:47,"('Ben Sheppard', 'Doug McDermott', 'Jalen Smith', 'Obi Toppin', 'T.J. McConnell')","('AJ Griffin', 'Garrison Mathews', 'Mouhamed Gueye', 'Trae Young', 'Vit Krejci')",,,1.0,3.0,,,1.0,,,
,AJ Griffin,2,172,215,11:47,7:35,"('Ben Sheppard', 'Doug McDermott', 'Jalen Smith', 'Obi Toppin', 'T.J. McConnell')","('AJ Griffin', 'Bruno Fernando', 'Dejounte Murray', 'Garrison Mathews', 'Vit Krejci')",,,,2.0,1.0,,,,,
,Dejounte Murray,2,172,215,11:47,7:35,"('Ben Sheppard', 'Doug McDermott', 'Jalen Smith', 'Obi Toppin', 'T.J. McConnell')","('AJ Griffin', 'Bruno Fernando', 'Dejounte Murray', 'Garrison Mathews', 'Vit Krejci')",,1.0,1.0,9.0,3.0,,1.0,,,
,Bruno Fernando,2,172,215,11:47,7:35,"('Ben Sheppard', 'Doug McDermott', 'Jalen Smith', 'Obi Toppin', 'T.J. McConnell')","('AJ Griffin', 'Bruno Fernando', 'Dejounte Murray', 'Garrison Mathews', 'Vit Krejci')",2.0,1.0,,4.0,1.0,,,2.0,,
,Obi Toppin,2,172,215,11:47,7:35,"('Ben Sheppard', 'Doug McDermott', 'Jalen Smith', 'Obi Toppin', 'T.J. McConnell')","('AJ Griffin', 'Bruno Fernando', 'Dejounte Murray', 'Garrison Mathews', 'Vit Krejci')",,1.0,1.0,3.0,,,1.0,,,
,T.J. McConnell,2,172,215,11:47,7:35,"('Ben Sheppard', 'Doug McDermott', 'Jalen Smith', 'Obi Toppin', 'T.J. McConnell')","('AJ Griffin', 'Bruno Fernando', 'Dejounte Murray', 'Garrison Mathews', 'Vit Krejci')",1.0,1.0,1.0,5.0,1.0,,,,,
,Jalen Smith,2,172,215,11:47,7:35,"('Ben Sheppard', 'Doug McDermott', 'Jalen Smith', 'Obi Toppin', 'T.J. McConnell')","('AJ Griffin', 'Bruno Fernando', 'Dejounte Murray', 'Garrison Mathews', 'Vit Krejci')",1.0,,,,,1.0,,,,
,Ben Sheppard,2,172,215,11:47,7:35,"('Ben Sheppard', 'Doug McDermott', 'Jalen Smith', 'Obi Toppin', 'T.J. McConnell')","('AJ Griffin', 'Bruno Fernando', 'Dejounte Murray', 'Garrison Mathews', 'Vit Krejci')",,1.0,,2.0,1.0,,,,,
,Bogdan Bogdanović,2,215,249,7:35,6:24,"('Aaron Nesmith', 'Andrew Nembhard', 'Myles Turner', 'Pascal Siakam', 'Tyrese Haliburton')","('Bogdan Bogdanović', ""De'Andre Hunter"", 'Dejounte Murray', 'Mouhamed Gueye', 'Vit Krejci')",1.0,,,,,,1.0,,,
,Dejounte Murray,2,215,249,7:35,6:24,"('Aaron Nesmith', 'Andrew Nembhard', 'Myles Turner', 'Pascal Siakam', 'Tyrese Haliburton')","('Bogdan Bogdanović', ""De'Andre Hunter"", 'Dejounte Murray', 'Mouhamed Gueye', 'Vit Krejci')",,,,3.0,1.0,,,1.0,,
,Andrew Nembhard,2,215,249,7:35,6:24,"('Aaron Nesmith', 'Andrew Nembhard', 'Myles Turner', 'Pascal Siakam', 'Tyrese Haliburton')","('Bogdan Bogdanović', ""De'Andre Hunter"", 'Dejounte Murray', 'Mouhamed Gueye', 'Vit Krejci')",,,,,,1.0,,,,
,Tyrese Haliburton,2,215,249,7:35,6:24,"('Aaron Nesmith', 'Andrew Nembhard', 'Myles Turner', 'Pascal Siakam', 'Tyrese Haliburton')","('Bogdan Bogdanović', ""De'Andre Hunter"", 'Dejounte Murray', 'Mouhamed Gueye', 'Vit Krejci')",,,,1.0,,,,1.0,,
,Mouhamed Gueye,2,215,249,7:35,6:24,"('Aaron Nesmith', 'Andrew Nembhard', 'Myles Turner', 'Pascal Siakam', 'Tyrese Haliburton')","('Bogdan Bogdanović', ""De'Andre Hunter"", 'Dejounte Murray', 'Mouhamed Gueye', 'Vit Krejci')",,,,,,,1.0,,,
,Aaron Nesmith,2,249,256,6:24,6:13,"('Aaron Nesmith', 'Andrew Nembhard', 'Myles Turner', 'Pascal Siakam', 'Tyrese Haliburton')","('Bogdan Bogdanović', ""De'Andre Hunter"", 'Dejounte Murray', 'Mouhamed Gueye', 'Trae Young')",,,,,,1.0,,,,
